year,party,electoral_votes
1948,D,303
1948,R,189
1948,Other,0
1952,D,89
1952,R,442
1952,Other,0
1956,D,96
1956,R,457
1956,Other,0
1960,D,303
1960,R,219
1960,Other,0
1964,D,486
1964,R,52
1964,Other,0
1968,D,191
1968,R,301
1968,Other,46
1972,D,17
1972,R,520
1972,Other,0
1976,D,297
1976,R,240
1976,Other,0
1980,D,49
1980,R,489
1980,Other,0
1984,D,13
1984,R,525
1984,Other,0
1988,D,111
1988,R,426
1988,Other,0
1992,D,370
1992,R,168
1992,Other,0
1996,D,379
1996,R,159
1996,Other,0
2000,D,266
2000,R,271
2000,Other,0
2004,D,251
2004,R,286
2004,Other,0
2008,D,365
2008,R,173
2008,Other,0
2012,D,332
2012,R,206
2012,Other,0
2016,D,227
2016,R,304
2016,Other,0
2020,D,306
2020,R,232
2020,Other,0
